County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
faulkner arkansas,0,Total for all sectors,All establishments,All establishments,2021,"2,855","15,26,543","3,62,053","35,683"," ""05045""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3773660,3962761,4043007,4130196,4445345,4861738
franklin arkansas,0,Total for all sectors,All establishments,All establishments,2021,298,"1,71,210","40,165","3,888"," ""05047""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,410297,436060,435000,456668,475720,555368
fulton arkansas,0,Total for all sectors,All establishments,All establishments,2021,165,"48,413","10,656","1,443"," ""05049""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,173320,186990,194050,199895,222114,243708
garland arkansas,0,Total for all sectors,All establishments,All establishments,2021,"2,858","13,38,610","3,00,787","34,001"," ""05051""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3297461,3448231,3591720,3654049,3915834,4199837
grant arkansas,0,Total for all sectors,All establishments,All establishments,2021,291,"1,49,758","35,618","3,590"," ""05053""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,407151,415168,443690,442025,486058,518154
greene arkansas,0,Total for all sectors,All establishments,All establishments,2021,794,"5,11,551","1,17,903","12,798"," ""05055""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1391745,1419558,1536984,1517834,1735448,1885092
hempstead arkansas,0,Total for all sectors,All establishments,All establishments,2021,375,"2,24,175","52,260","5,748"," ""05057""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,997465,988120,967072,1008328,1099838,1266142
hot spring arkansas,0,Total for all sectors,All establishments,All establishments,2021,504,"2,49,950","57,740","5,985"," ""05059""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1040555,1069667,1027338,1049474,1231638,1490917
howard arkansas,0,Total for all sectors,All establishments,All establishments,2021,264,"2,28,386","55,471","5,653"," ""05061""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,636251,659839,586152,612961,710327,806560
independence arkansas,0,Total for all sectors,All establishments,All establishments,2021,797,"6,60,816","1,51,597","14,809"," ""05063""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1814024,1985173,1864000,1768994,2033557,2276113
izard arkansas,0,Total for all sectors,All establishments,All establishments,2021,212,"60,229","14,003","1,905"," ""05065""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,278836,294557,287925,280159,323110,360844
jackson arkansas,0,Total for all sectors,All establishments,All establishments,2021,307,"1,54,175","37,629","3,673"," ""05067""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,650775,696776,675048,672116,800132,925938
jefferson arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,229","8,59,006","1,97,889","19,464"," ""05069""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,3135246,3124116,3196599,3050431,3415507,3585520
johnson arkansas,0,Total for all sectors,All establishments,All establishments,2021,381,"2,51,063","58,515","6,963"," ""05071""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,673818,700630,685293,685226,786772,890231
lafayette arkansas,0,Total for all sectors,All establishments,All establishments,2021,104,"26,151","5,790",700," ""05073""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,143086,140544,125218,120898,155570,185915
lawrence arkansas,0,Total for all sectors,All establishments,All establishments,2021,279,"1,11,931","24,639","3,246"," ""05075""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,444603,449065,451531,472258,494072,567169
lee arkansas,0,Total for all sectors,All establishments,All establishments,2021,112,"38,556","8,947",875," ""05077""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,175991,173974,189930,172290,234371,205422
lincoln arkansas,0,Total for all sectors,All establishments,All establishments,2021,153,"54,401","12,366","1,389"," ""05079""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,242689,250909,235050,242914,308947,322428
little river arkansas,0,Total for all sectors,All establishments,All establishments,2021,168,"1,43,952","37,571","2,459"," ""05081""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,491186,481860,501745,523861,538998,606927
logan arkansas,0,Total for all sectors,All establishments,All establishments,2021,360,"1,33,017","31,925","3,747"," ""05083""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,501239,515412,447717,444721,510011,617432
lonoke arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,109","4,21,247","95,678","11,472"," ""05085""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1331980,1373085,1391922,1469917,1644362,1750219
madison arkansas,0,Total for all sectors,All establishments,All establishments,2021,227,"1,10,262","25,855","2,612"," ""05087""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,381126,395324,353146,369454,480990,595458
marion arkansas,0,Total for all sectors,All establishments,All establishments,2021,239,"1,08,290","26,430","2,686"," ""05089""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,501549,497010,591863,587306,648320,770080
miller arkansas,0,Total for all sectors,All establishments,All establishments,2021,719,"5,19,426","1,24,086","11,175"," ""05091""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1320899,1358854,1438069,1442080,1513230,1657263
mississippi arkansas,0,Total for all sectors,All establishments,All establishments,2021,752,"9,67,075","2,25,826","14,555"," ""05093""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2246202,2614352,2666147,2557769,3368139,3651852
monroe arkansas,0,Total for all sectors,All establishments,All establishments,2021,183,"53,940","12,033","1,520"," ""05095""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,183759,185260,190996,213541,236063,224147
montgomery arkansas,0,Total for all sectors,All establishments,All establishments,2021,133,"34,138","6,837",904," ""05097""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,140656,146848,146345,144090,159064,170399
nevada arkansas,0,Total for all sectors,All establishments,All establishments,2021,120,"70,402","17,962","1,853"," ""05099""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,256197,263861,249495,248312,262270,303672
newton arkansas,0,Total for all sectors,All establishments,All establishments,2021,87,"18,818","4,378",671," ""05101""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,103734,105297,110525,105384,116995,126701
ouachita arkansas,0,Total for all sectors,All establishments,All establishments,2021,479,"3,68,530","87,084","7,843"," ""05103""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,610504,647245,651345,662618,723955,814273
perry arkansas,0,Total for all sectors,All establishments,All establishments,2021,121,"20,958","4,922",688," ""05105""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,155867,159270,152966,152609,185308,208877
phillips arkansas,0,Total for all sectors,All establishments,All establishments,2021,339,"1,34,703","30,455","3,512"," ""05107""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,506356,516395,558212,567999,674938,651294
pike arkansas,0,Total for all sectors,All establishments,All establishments,2021,219,"71,932","15,961","2,006"," ""05109""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,251385,263249,260495,271687,311247,358029
poinsett arkansas,0,Total for all sectors,All establishments,All establishments,2021,327,"1,64,202","34,805","3,632"," ""05111""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,588161,573681,596386,614927,702855,708747
polk arkansas,0,Total for all sectors,All establishments,All establishments,2021,418,"1,75,041","38,486","4,852"," ""05113""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,522053,557133,529059,543084,658228,754717
pope arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,549","10,60,003","2,48,990","22,853"," ""05115""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2865775,2910784,2973966,3089604,3333263,3686227
prairie arkansas,0,Total for all sectors,All establishments,All establishments,2021,139,"35,815","8,452","1,024"," ""05117""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,185790,190708,172433,205253,234229,238411
pulaski arkansas,0,Total for all sectors,All establishments,All establishments,2021,"12,300","1,16,81,343","27,92,264","2,06,539"," ""05119""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,28340196,29334348,30379691,31121884,33571305,36247194
randolph arkansas,0,Total for all sectors,All establishments,All establishments,2021,318,"1,26,483","29,985","3,913"," ""05121""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,461996,491709,520410,529149,606607,677046
st. francis arkansas,0,Total for all sectors,All establishments,All establishments,2021,438,"1,72,251","40,119","4,795"," ""05123""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,723264,728822,754728,772530,844646,860882
saline arkansas,0,Total for all sectors,All establishments,All establishments,2021,"2,204","8,50,481","1,92,362","22,946"," ""05125""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2506573,2685753,2701193,2947307,3304611,3736099
scott arkansas,0,Total for all sectors,All establishments,All establishments,2021,137,"60,826","14,432","1,763"," ""05127""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,278126,297593,267614,278020,387833,451324
searcy arkansas,0,Total for all sectors,All establishments,All establishments,2021,119,"45,712","8,016","1,215"," ""05129""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,174007,175449,188487,183002,210786,226969
sebastian arkansas,0,Total for all sectors,All establishments,All establishments,2021,"3,322","27,36,388","6,60,043","56,973"," ""05131""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,6431767,6785353,7009784,7046980,7683415,8409802
sevier arkansas,0,Total for all sectors,All establishments,All establishments,2021,254,"1,49,538","32,749","3,910"," ""05133""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,492295,512934,475937,443852,551862,678242
sharp arkansas,0,Total for all sectors,All establishments,All establishments,2021,312,"85,122","19,649","2,571"," ""05135""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,363481,372881,339485,322618,409142,506184
stone arkansas,0,Total for all sectors,All establishments,All establishments,2021,241,"66,866","14,040","2,120"," ""05137""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,234029,251803,247255,242175,285970,315297
union arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,036","7,68,484","1,76,828","14,224"," ""05139""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2374137,2503195,2548797,2557689,2957000,3387133
van buren arkansas,0,Total for all sectors,All establishments,All establishments,2021,308,"1,13,277","28,375","3,101"," ""05141""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,383472,380730,366645,356734,443378,499929
washington arkansas,0,Total for all sectors,All establishments,All establishments,2021,"5,919","45,56,301","9,95,072","93,315"," ""05143""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,11213825,11704089,12175769,12820373,14487006,15678661
white arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,602","8,87,811","2,03,237","22,719"," ""05145""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,2132780,2248592,2300161,2302066,2663547,2923259
woodruff arkansas,0,Total for all sectors,All establishments,All establishments,2021,128,"45,822","10,797","1,169"," ""05147""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,227849,230926,216916,231048,290828,314896
yell arkansas,0,Total for all sectors,All establishments,All establishments,2021,313,"1,81,992","41,719","4,650"," ""05149""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,584454,617911,593909,575919,697721,820057
alameda california,0,Total for all sectors,All establishments,All establishments,2021,"41,470","6,54,04,382","1,54,90,741","6,79,722"," ""06001""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,130430017,137388106,144166936,143611572,156842758,168506397
alpine california,0,Total for all sectors,All establishments,All establishments,2021,47,"11,205","3,224",518," ""06003""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,114872,118346,139948,114311,116173,117412
amador california,0,Total for all sectors,All establishments,All establishments,2021,818,"3,52,130","80,218","7,547"," ""06005""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,1608472,1668518,1755898,1693045,1778912,1920935
butte california,0,Total for all sectors,All establishments,All establishments,2021,"4,615","29,02,544","6,53,208","60,377"," ""06007""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,9181452,9461545,9856895,9525848,10292007,11077391
calaveras california,0,Total for all sectors,All establishments,All establishments,2021,948,"2,72,509","57,839","6,338"," ""06009""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,1430443,1389165,1555027,1439503,1522366,1641639
colusa california,0,Total for all sectors,All establishments,All establishments,2021,394,"2,34,868","50,318","4,301"," ""06011""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,1291669,1513533,1377594,1566896,1576771,1780929
contra costa california,0,Total for all sectors,All establishments,All establishments,2021,"25,202","2,57,56,896","63,96,039","3,24,805"," ""06013""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,71697154,79773547,81711578,72847446,84817525,94802099
del norte california,0,Total for all sectors,All establishments,All establishments,2021,410,"1,66,929","37,096","3,978"," ""06015""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,767790,804348,812151,846306,912862,947225
el dorado california,0,Total for all sectors,All establishments,All establishments,2021,"4,824","27,01,702","6,11,874","46,648"," ""06017""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,7932017,8425401,8730472,8364203,9021726,9876986
fresno california,0,Total for all sectors,All establishments,All establishments,2021,"18,199","1,43,67,074","32,12,007","2,76,218"," ""06019""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,42568888,44516333,46666365,46980382,51719474,55426932
glenn california,0,Total for all sectors,All establishments,All establishments,2021,487,"3,05,463","68,696","5,219"," ""06021""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,1000079,1127814,1053475,1116086,1242980,1248681
humboldt california,0,Total for all sectors,All establishments,All establishments,2021,"3,181","15,64,520","3,60,165","33,140"," ""06023""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,5436863,5590871,5895597,5789281,6295323,6843306
imperial california,0,Total for all sectors,All establishments,All establishments,2021,"2,584","13,60,697","3,10,625","31,031"," ""06025""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,8039122,8099883,8523718,9018819,9550181,11064218
